符合條件商品
資料日期：2026年  9月 24日
策略,	RS加權
"序號","代碼","商品","成交","漲幅%","總量","歐奈爾RS評分(1-99)","距最高收盤跌幅(%)","處置股(1=是)","20日乖離率(%)","月線斜率(%)","近5日漲幅(%)","近10日漲幅(%)","近20日漲幅(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","布林通道位階","產業","細產業","所有細產業",產業地位
1	,"1101.TW","台泥","25.25","-1.56","39329","62","4.9","0","2.92","0.23","3.27","1.81","4.77","-35.77","4.84","-3.73","-2.19","-1.09","7.93","上市水泥","水泥","水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠
2	,"1102.TW","亞泥","35.7","-0.7","7449","48","8.46","0","1.43","0.09","1.13","0.71","1.71","-5.2","12.98","10.04","9.04","0.66","7.94","上市水泥","水泥","水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠
3	,"1216.TW","統一","74.5","-1.19","4863","45","7.45","0","-1.17","-0.17","-1.32","-1.46","-3.37","-31.13","-5.97","-7","-6.52","3.24","-6.41","上市食品","乳製品","速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一
4	,"1301.TW","台塑","64.1","1.58","16416","83","5.46","0","-1.21","0.08","-0.77","-2.29","1.58","8.06","2.15","-2.13","7.31","2.51","-2.48","上市塑膠","PVC","合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商
5	,"1303.TW","南亞","238","4.62","67158","99","2.46","0","2.32","0.23","0.85","-2.46","4.62","19","-7.4","-6.04","-2.66","-1.26","3.9","上市塑膠","塑膠加工","合成樹脂,丁二醇,化學工業,DOP,塑膠皮布,塑膠加工,PA,塑化原料,塑化製品,化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,EG,玻纖布,印刷電路板,銅箔基板,銅箔,印刷電路板相關",全球最大的塑膠加工廠、第四大EG廠
6	,"1312.TW","國喬","14.6","0","7757","78","6.71","0","-0.61","0.1","-2.34","-2.34","2.1","5.5","10.12","3.69","1.29","0.47","-1.04","上市塑膠","SM","SM,ABS,塑化原料",台灣第二大SM及ABS廠
7	,"1313.TW","聯成","12.15","0","1402","62","15.03","0","1.08","0","-1.22","2.53","0","2.71","10.69","14.69","9.43","5.31","3.63","上市塑膠","DOP","PVC,DOP,塑化原料",全球最大可塑劑及苯酐供應商
8	,"1314.TW","中石化","8.86","-1.66","42263","68","14.81","0","5.6","0.42","-1.12","8.98","8.58","-31.73","-5.39","5.22","5.35","-0.09","6.22","上市塑膠","CPL","AN,化學纖維,尼龍粒,化纖原料,CPL,資產股",台灣第一大CPL廠
9	,"1326.TW","台化","67","2.45","18735","89","9.83","0","-2.57","0.28","-2.33","-6.03","6.01","3.22","-10.39","-8.02","8.14","0.69","-3.09","上市塑膠","PTA","二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠
10	,"1402.TW","遠東新","28.15","0.9","5471","52","7.25","0","-0.85","-0.04","0.18","-1.75","-0.88","21.48","-3.32","-8.44","-4.23","0.77","-2.28","上市紡織纖維","聚酯粒","家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣
11	,"1434.TW","福懋","17.95","0.28","1287","67","8.18","0","0.04","-0.03","0.56","-0.28","-0.55","-1.32","5.7","3.5","2.42","-1.22","0.17","上市紡織纖維","尼龍製品","加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商
12	,"1440.TW","南紡","13.5","1.89","5143","54","13.46","0","-0.37","-0.13","0.37","0","-2.53","8.63","1.42","-1.81","1.02","2.71","-0.74","上市紡織纖維","聚酯棉","化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心
13	,"1513.TW","中興電","166","0.3","1272","54","11.23","0","0.47","-0.14","0.61","0.3","-2.64","22.8","14.6","14.08","4.93","9.16","2.43","上市電機機械","電機","其他公用事業,停車場,電機,重電設備,輸配電設備,電氣開關設備,智慧電網相關,配電工程,空調製冷,產業機械,電力設備",台灣知名重電及機電工程廠商
14	,"1528.TW","恩德","25.45","-0.78","7813","82","19.72","0","15.16","1.36","5.6","31.87","30.51","-11.34","-0.14","-0.2","-1.03","-0.8","5.85","上市電機機械","木工機械","流通業,家居相關用品通路,雷射鑽孔機、鑽頭,印刷電路板相關,工具機,木工機械,產業機械",台灣生產PCB鑽孔機、成型機與木工機械廠商
15	,"1560.TW","中砂","971","1.68","2172","94","0","0","23.99","1.83","19.14","32.47","40.72","5.48","3.05","8.07","7.72","3.21","9.91","上市電機機械","磨料磨具","矽晶圓,IC製造,磨料磨具,產業機械",台灣從事砂輪及再生晶圓生產製造廠商
