符合條件商品
資料日期：2026年  9月  3日
策略,	主力買向上
"序號","代碼","商品","成交","漲幅%","總量","布林通道位階","處置股(1=是)","20日乖離率(%)","月線斜率(%)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","產業","細產業","所有細產業",產業地位
1	,"1301.TW","台塑","65.7","-1.65","52368","7.33","0","9.51","0.89","12.53","20.88","21.25","13.18","4.94","上市塑膠","PVC","合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商
2	,"1326.TW","台化","69.7","-4.26","82420","7.81","0","12.86","0.95","3.58","19.29","16.96","10.92","1.83","上市塑膠","PTA","二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠
3	,"1459.TW","聯發","15.3","-1.61","52","4.41","0","4.7","0.81","1.92","3.28","3.22","2.71","2.77","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲",台灣十大聚酯加工絲廠之一
4	,"1558.TW","伸興","106","0.47","205","7.88","0","5.75","0.73","24.39","21.04","18.26","20.65","13.79","上市電機機械","家用縫紉機","傳產其他,金屬加工/製品,家用縫紉機,產業機械",全球最大家用縫紉機ODM廠
5	,"1815.TW","富喬","120","-8.4","121465","4.59","0","12.84","1.59","2.19","6.31","7.62","8.68","5.1","上櫃電子零組件","玻纖布","玻纖布,印刷電路板相關",台灣玻纖紗、玻纖布一貫廠
6	,"2030.TW","彰源","23.4","3.54","2670","5.87","0","6.74","1.26","34.53","8.67","10.37","11.46","8.17","上市鋼鐵","不鏽鋼管","不鏽鋼,不鏽鋼剪裁加工,不鏽鋼管",台灣不鏽鋼管、不鏽鋼板製造大廠
7	,"2033.TW","佳大","25.55","3.65","1082","6.97","0","13.43","2.08","7.02","2.01","2.38","4.24","3.59","上市鋼鐵","線材盤元","線材盤元",致力於鋼線鋼纜產品業務
8	,"2351.TW","順德","223","-2.62","3697","5.04","0","13.47","1.33","4.08","2.32","9.81","6.86","1.29","上市半導體","導線架","傳產其他,文具,導線架,封測服務與材料",全球導線架前五大供應商之一
9	,"2455.TW","全新","525","-3.14","21442","9.75","0","23.86","1.84","8.37","8.29","9.32","3.94","2.15","上市通信網路","光通訊元件磊晶","砷化鎵相關,第三類半導體,光通訊元件磊晶,IC製造",全球前三大砷化鎵HBT磊晶片廠
10	,"2464.TW","盟立","222","9.9","17067","14.04","0","17.07","1.17","34.47","5","9.58","7.06","2.79","上市其他電子","半導體製程設備","半導體製程設備,設備儀器商,面板設備,自動化設備,機器人,產業機械",自動化系統整合與智慧製造的領導商
11	,"2467.TW","志聖","595","-2.3","1094","4.57","0","5.22","0.68","6.95","9.05","8.9","7.08","2.28","上市電子零組件","PCB相關設備","PCB相關設備,半導體製程設備,設備儀器商,面板設備",印刷電路板製程用壓膜機知名大廠
12	,"2596.TW","綠意","36.05","0.84","130","9.12","0","6.74","0.75","0.77","3.91","4.27","3.58","2.19","上櫃建材營造","營建","營建,地產",桃園及台北地區小型建商
13	,"2603.TW","長榮","239","1.92","9241","2.92","0","3.18","0.76","36.79","7.31","7.15","23.19","8.21","上市航運業","貨櫃航運","貨櫃航運,運輸事業",全球前七大貨櫃航商，且為台灣最大
14	,"2606.TW","裕民","78.2","4.13","13295","9.01","0","9.93","0.98","15.43","7.99","10.39","11.55","3.51","上市航運業","散裝航運","散裝航運,油輪,運輸事業",台灣最大散裝航運公司之一
15	,"2612.TW","中航","63.3","3.09","1918","7.25","0","8.12","0.76","16.27","2.49","8.21","9.39","5.34","上市航運業","散裝航運","貨櫃場服務,散裝航運,陸運,運輸事業,物流業",台灣散裝航運業者，且是具規模的貨櫃運輸業者
16	,"2637.TW","慧洋-KY","99.8","3.63","7546","8.16","0","8.32","0.78","19.4","9.05","1.61","3.72","5.48","上市航運業","散裝航運","散裝航運,運輸事業",台灣具規模的散裝船隊船東之一
17	,"2723.TW","美食-KY","82.8","-0.84","521","6.76","0","16.41","1.53","3.45","17.99","14.36","10.57","4.53","上市觀光餐旅","餐飲","食品加工,穀類烘焙製品,旅宿／餐飲,餐飲,休閒食品零售",以「85度C」為品牌之咖啡烘焙連鎖店
18	,"2801.TW","彰銀","26.6","3.5","46745","13.6","0","10.01","0.72","7.39","7.91","9.6","3.51","6.65","上市金融保險","銀行","銀行,金融業",台灣老牌銀行，為銀行界歷史悠久的三商銀之一
19	,"2881.TW","富邦金","147","2.44","20257","8.45","0","9.25","0.79","20.99","8.56","17.04","12.53","4.29","上市金融保險","金控","銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業",台灣資產規模前二大的金控公司，旗下擁有台灣最大產險公司
20	,"2882.TW","國泰金","112.5","3.21","36064","11","0","9.76","0.74","22.27","12.66","13.93","7.76","1.53","上市金融保險","金控","銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業",台灣資產規模前二大金控公司，旗下擁有台灣最大壽險公司
21	,"2883.TW","凱基金","35.9","1.13","60617","11.77","0","11.83","0.83","8.93","19.55","21.31","14.6","8","上市金融保險","金控","銀行,證券,金控,金融業",以投資銀行業務為主之金控，並藉購併跨入證券與商業銀行領域
22	,"2884.TW","玉山金","43.2","6.67","96703","16.35","0","12.2","0.69","16.56","11.47","11.26","5.03","10","上市金融保險","金控","銀行,保險經紀,證券,金控,金融其他,金融業",以玉山銀行為主體的金控公司
23	,"3081.TW","聯亞","3120","-8.1","4201","2.81","0","6.72","1.29","5.93","3.01","4.06","2.46","0.07","上櫃通信網路","光通訊元件磊晶","砷化鎵相關,光通訊元件磊晶,IC製造",生產砷化鎵與磷化銦為基板的磊晶廠
24	,"3219.TW","倚強科","90.5","0.11","908","8.38","0","17.1","1.24","9.91","4.45","8.89","5.65","1.44","上櫃其他電子","設備儀器商","設備儀器商",全球領先的消費電子及車電測試方案供應商
25	,"3324.TW","雙鴻","1350","-5.92","2235","9.29","1","23.49","1.34","4.12","23.52","19.85","12.22","4.45","上櫃其他電子","筆記型電腦用散熱模組","散熱模組,伺服器用散熱模組,筆記型電腦用散熱模組",台灣前二大散熱模組廠商
26	,"3374.TW","精材","400","-4.65","4739","6.89","1","17.42","1.25","7.98","16.35","12.84","3.45","3.75","上櫃半導體","IC封裝","IC封裝,IC測試,IC封裝測試",台積電轉投資的封測廠
27	,"3406.TW","玉晶光","991","-5.62","2417","7.76","1","35.01","3.12","7.9","9.37","9.59","8.35","1.89","上市光電","光學鏡片／頭","LED,LED照明產品,光學鏡片/頭,光學元件",台灣光學鏡頭大廠，專注於手機鏡頭與AR/VR透鏡
28	,"3498.TW","陽程","192","-4.71","6645","2.97","0","10.22","2.38","4.51","2.3","5.68","9.64","2.59","上櫃其他電子","PCB相關設備","PCB相關設備,設備儀器商,自動化設備,產業機械",台灣PCB暨CCL、環境工程及物流等自動化設備廠
29	,"3623.TW","富晶通","24","3","131","14","0","9.23","0.9","19.85","14.67","10.11","5.29","0.04","上櫃光電","觸控面板","面板業,觸控面板",中環與富士通合資之觸控面板廠
30	,"3653.TW","健策","5615","-2.69","902","3.46","0","7.71","1.13","4.88","2.78","3.51","4.83","2.99","上市電子零組件","其他散熱零件","散熱模組,導線架,封測服務與材料,其他散熱零件",台灣均熱片兼LED導線架供應商
31	,"3693.TW","營邦","648","0.93","3232","10.61","0","17.81","1.02","19.99","18","14.81","6.63","3.08","上櫃電腦及週邊設備","伺服器機殼","伺服器機殼,電子零件元件,準系統,電腦系統業",台灣伺服器機箱兼系統平台服務商
32	,"4119.TW","旭富","56.1","0.36","370","8.35","0","4.87","0.7","0.81","12.07","8.83","9.36","5.39","上市生技醫療","原料藥","醫藥產業,原料藥",全球最大之丙戊酸一系列癲癇藥物生產者
33	,"5291.TW","邑昇","68.7","-2.83","1436","6.82","0","13.58","1.48","2.37","4.29","5.32","3.17","0.12","上櫃電子零組件","印刷電路板","印刷電路板,印刷電路板相關,自行車零件,產業機械",台灣印刷電路板與自行車燈具業者
34	,"5607.TW","遠雄港","57.2","2.88","2417","9.7","0","8.07","0.8","15.31","8.8","6.65","12.63","6.26","上市航運業","貨櫃場服務","控股公司,貨櫃場服務,運輸事業,物流業,地產,物業投資發展",一家控股公司，並經營海、陸、空聯運之自由貿易港區
35	,"6214.TW","精誠","183","0","2153","3.82","0","6.64","1.1","28.33","23.63","26.14","22.35","10.55","上市資訊服務","系統整合","系統整合,軟體業,軟體通路／代理,雲端科技,Internet技術與基礎設施",金融服務、科技整合及加值服務系統業者
36	,"6240.TW","松崗","27.95","2.38","324","11.21","0","26.51","2.09","3.4","3.35","3.36","2.91","2.04","上櫃資訊服務","系統整合","系統整合,軟體業,地產,物業投資發展",專注協助企業數位服務與轉型領域
37	,"6426.TW","統新","265.5","3.31","3546","5.91","0","9.68","1.65","34.49","10.38","1.13","3.27","0.88","上市通信網路","光纖零組件","光通訊,光纖零組件",台灣光通訊元件濾光片廠商
38	,"6532.TW","瑞耘","99.8","2.89","1771","11.07","0","11.88","1.32","27.95","12.42","10.52","10.04","4.14","上櫃半導體","半導體製程設備","半導體製程設備,設備儀器商,化學氣相沈積設備",半導體前段製程設備及零件供應商
