符合條件商品
資料日期：2026年  9月 21日
策略,	天花板地板
"序號","代碼","商品","成交","漲幅%","總量","20日乖離率(%)","處置股(1=是)","1日籌碼集中度(%)","5日籌碼集中度(%)","10日籌碼集中度(%)","20日籌碼集中度(%)","60日籌碼集中度(%)","五年正門檻(95%)","五年負門檻(5%)","實際量增倍數","產業","細產業","所有細產業",產業地位
1	,"1259.TW","安心","68","0","60","5.89","0","13.33","11.9","8","6.47","2.49","3.84","-2.75","3.88","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",東元旗下，以摩斯為速食餐飲連鎖品牌
2	,"1314.TW","中石化","9.18","2.46","87704","11.1","0","15.68","13.91","14.4","11.86","1.75","9.59","-8.23","2.56","上市塑膠","CPL","AN,化學纖維,尼龍粒,化纖原料,CPL,資產股",台灣第一大CPL廠
3	,"1528.TW","恩德","27.05","9.96","23402","28.26","0","27.02","3.4","2.88","3.07","2.06","24.64","-12.52","3.05","上市電機機械","木工機械","流通業,家居相關用品通路,雷射鑽孔機、鑽頭,印刷電路板相關,工具機,木工機械,產業機械",台灣生產PCB鑽孔機、成型機與木工機械廠商
4	,"1560.TW","中砂","914","2.01","5320","23.22","0","-2.2","8.84","10.23","8.33","3.54","15.72","-13.14","3.01","上市電機機械","磨料磨具","矽晶圓,IC製造,磨料磨具,產業機械",台灣從事砂輪及再生晶圓生產製造廠商
5	,"1569.TW","濱川","61","9.91","8830","24.48","0","28.94","18.33","14.76","11.01","7.8","18.97","-12.28","6.01","上櫃電腦及週邊設備","模具沖壓","機殼,模具沖壓,電子零件元件",全球NB鍵盤支架領導廠商
6	,"2033.TW","佳大","33.95","0.15","4527","26.86","0","-9.37","0.72","0.35","1.32","2.48","22.35","-10.14","2.27","上市鋼鐵","線材盤元","線材盤元",致力於鋼線鋼纜產品業務
7	,"2409.TW","友達","33.35","9.88","822972","18.06","0","45.18","18.54","7.57","9.19","3.03","15.4","-11.14","2.55","上市光電","TFT-LCD","面板業,中小尺吋面板,TFT-LCD,OLED,觸控面板",全球前五大面板大廠之一
8	,"2444.TW","兆勁","13.85","9.92","2310","20.2","0","23.33","15.9","5.44","4.41","-3.76","15.34","-11.41","4.5","上市通信網路","無線網路設備系統(WLAN)","用戶端設備,無線網路設備系統(WLAN),網通設備,物聯網裝置",台灣無線網路設備代工廠
9	,"2855.TW","統一證","57.3","7.5","12610","12.42","0","49.94","23.73","21.7","21.48","6.6","10.52","-10.63","2.61","上市金融保險","證券","證券,金融業",為統一集團旗下券商，市佔排名前八大
