符合條件商品
資料日期：2026年  9月  1日
策略,	處置股
"序號","代碼","商品","成交","漲幅%","總量","月線斜率%","布林通道位階","1日主力集中度%","5日主力集中度%","10日主力集中度%","20日主力集中度%","60日主力集中度%","產業","細產業","所有細產業",產業地位
1	,"2486.TW","一詮","276","4.94","4977","1.14","10.73","16.32","4.06","-0.64","-0.79","-1.38","上市光電","導線架","面板零組件,背光模組,LED,LED散熱基板,導線架,封測服務與材料",台灣LED導線架大廠
2	,"3163.TW","波若威","761","2.7","954","0.72","4.96","18.55","-3.56","-3.3","-4.27","-4.25","上櫃通信網路","光纖被動元件","光通訊,光纖被動元件",台灣最大光纖被動元件代工廠
3	,"3234.TW","光環","200","8.11","3640","2.98","9.13","4.59","-6.29","2.44","5.27","-1.57","上櫃通信網路","光纖主動元件","光通訊元件磊晶,IC製造,光通訊,光纖主動元件",光收發模組上游晶粒及封裝廠
4	,"3362.TW","先進光","200","-0.99","975","0.55","6.44","17.03","6.66","3.49","2.38","-0.15","上櫃光電","光學鏡片／頭","光學鏡片/頭,光學元件",台灣光學鏡頭研發及製造廠商
5	,"3441.TW","聯一光","133","-2.21","3262","2.19","7.78","-2.36","0.89","1.18","0.4","-0.34","上櫃光電","光學鏡片／頭","傳產其他,光學,光學鏡片/頭,光學元件",台灣光學鏡頭上游專業光學毛胚廠
6	,"4188.TW","安克","14.55","-2.02","321","2.04","6.42","-14.64","-9.16","-4.84","-4.65","-4.16","上櫃生技醫療","智慧醫療技術","智慧醫療技術",全球首個FDA核准之超音波電腦輔助診斷(CAD)醫材公司
7	,"4939.TW","亞電","87.1","-2.35","4935","73.51","8.3","-0.45","2.32","2.61","1.6","-0.13","上櫃電子零組件","軟板基板","軟板基板,印刷電路板相關",台灣第二大FCCL廠商
8	,"4979.TW","華星光","600","-1.48","2791","1.39","5.46","-25.65","-0.43","2.6","4.87","0.7","上櫃通信網路","光纖主動元件","光通訊,光纖主動元件",台灣光收發模組一貫廠
9	,"5314.TW","世紀*","35.3","-1.94","5352","-2.61","-1.21","-6.76","0.47","3.91","4.94","-0.78","上櫃其他","食品生技","生物科技,食品生技",上曜集團旗下，轉型多元化業務經營
10	,"6103.TW","合邦","44.6","0.22","29","2.51","8.97","0","-9.69","-8.56","-8.3","-6.86","上櫃半導體","影音IC","IC設計,影音IC,嵌入式晶片,矽晶圓,LED驅動IC,IC製造",全球最大的CD Discman IC供應商
11	,"6226.TW","光鼎","34","7.59","10791","11.07","10.38","6.32","1.95","2.36","0.43","-0.11","上市光電","LED封裝","LED,LED封裝",專注於LED照明市場之封裝業者
